Kingdom,Phylum,Class,Genus,Taxon,Algal Type,Authority,Authority Source,Current Name,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Chromista,Ochrophyta,Chrysophyceae,Chromulina,Chromulina sp.,Chrysophyte,Cienkowski,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus cf. minutus,Cyanobacterium,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus cf. planctonicus,Cyanobacterium,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus dispersus,Cyanobacterium,(Keissler) Lemmermann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus limneticus,Cyanobacterium,Lemmermann,www.algaebase.org,Limnococcus limneticus,"(Lemmermann) Komárková, Jezberová, O. Komárek, and Zapom?lová",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus microscopicus,Cyanobacterium,J. Komárkova-Legnerová and G. Cronberg,www.algaebase.org,Eucapsis microscopica,(Komárková-Legenerová and G. Cronberg) Komárek and Hindák,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus minimus,Cyanobacterium,(Keissler) Lemmermann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus minutus,Cyanobacterium,(Kützing) Nägeli,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus planctonicus,Cyanobacterium,Bethge,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,Cyanobacterium,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas acuta,Cryptophyte,Utermöhl,www.algaebase.org,Komma caudata,(L. Geitler) D.R.A. Hill,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas cf. coerulea,Cryptophyte,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas marina,Cryptophyte,(Büttner) Butcher,www.algaebase.org,Cryptomonas kielensis,Pascher,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas nordstedtii,Cryptophyte,Hansgirg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas rosenbergii,Cryptophyte,Huber-Pestalozzi,www.algaebase.org,Chroomonas coerulea,(Geitler) Skuja,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas sp.,Cryptophyte,Hansgirg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Chrysophyceae,Chrysamoeba,Chrysamoeba sp.,Chrysophyte,Klebs,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysocapsella,Chrysocapsella paludosa,Chrysophyte,(West and G.S. West) Bourrelly,www.algaebase.org,Chrysocapsa paludosa,(West and G.S. West) Pascher,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina birgeri,Haptophyte,Hällfors and Niemi,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina parva,Haptophyte,Lackey,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina parva cf.,Haptophyte,Lackey,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina sp.,Haptophyte,Lackey,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus cf. rufescens,Chrysophyte,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus rufescens,Chrysophyte,Klebs,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus sp.,Chrysophyte,Klebs,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Chrysophyceae,Chrysosaccus,Chrysosaccus sp.,Chrysophyte,Pascher,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Plantae,Chlorophyta,Cladophorophyceae,Cladophora,Cladophora sp.,Green Alga,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,filamentous,benthic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis acicularis,Green Alga,(Chodat) J.H. Belcher and Swale,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis cf. acicularis,Green Alga,Unknown,Unknown,Unknown,Unknown,Unknown,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis longissima,Green Alga,(Lemmermann) Lemmermann,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis sp.,Green Alga,Lemmermann,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater or terrestrial
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium aciculare,Green Alga,T. West,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium acutum,Green Alga,Brébisson,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium acutum var. variabile,Green Alga,(Lemmermann) Willi Kreiger,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium arcuatum,Green Alga,Brébisson ex Ralfs,www.algaebase.org,Closterium dianae var. arcuatum,(Brébisson ex Ralfs) Rabenhorst,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium setaceum,Green Alga,Ehrenberg ex Ralfs,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium sp.,Green Alga,Nitzsch ex Ralfs,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Coccochloris,Coccochloris sp.,Cyanobacterium,Sprengel,www.algaebase.org,Aphanothece sp.,C. Nägeli,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coccomonas,Coccomonas sp.,Green Alga,Stein,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coccomyxa,Coccomyxa sp.,Green Alga,Schmidle,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis cf. placentula,Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis pediculus,Pennate Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,Pennate Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis sp.,Pennate Diatom,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum microporum,Green Alga,Nägeli,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum sp.,Green Alga,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum sphaericum,Green Alga,Nägeli,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum verrucosum,Green Alga,(Reinsch) Reinsch,www.algaebase.org,Coelastrum sphaericum,Nägeli,www.algaebase.org,Wehr and Sheath 2003,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Coelosphaerium,Coelosphaerium sp.,Cyanobacterium,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Plantae,Rhodophyta,Rhodellophyceae,Compsopogon,Compsopogon sp.,Red Alga,Montagne in Bory and St. Vincent et Durieaux,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Corethron,Corethron hystrix,Centric Diatom,Hensen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus cf. radiatus,Centric Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus denarius,Centric Diatom,A. Schmidt,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,brackish to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus radiatus,Centric Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus sp.,Centric Diatom,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Plantae,Chlorophyta,Zygnematophyceae,Cosmarium,Cosmarium sp.,Green Alga,Corda ex Ralfs,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Plantae,Chlorophyta,Zygnematophyceae,Cosmarium,Cosmarium tinctum,Green Alga,Ralfs,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic or benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula accomoda,Pennate Diatom,(Hustedt) D.G. Mann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula buderi,Pennate Diatom,(Hustedt) Lange-Bertalot,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula cf. ambigua,Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula cf. elkab,Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula elkab,Pennate Diatom,"(Otto Müller) Lange-Bertalot, Kusber and Cocquyt",www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula halophila,Pennate Diatom,(Grunow) D.G. Mann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula molestiformis,Pennate Diatom,(Hustedt) Mayama,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula sp.,Pennate Diatom,Grunow,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia apiculata,Green Alga,(Lemmermann) Schmidle,www.algaebase.org,Willea apiculata,"(Lemmermann) D.M. John, M.J. Wynne and P.M. Tsarenko",www.algaebase.org,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia cf. crucifera,Green Alga,Unknown,Unknown,Unknown,Unknown,Unknown,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia cf. lauterbornii,Green Alga,Unknown,Unknown,Unknown,Unknown,Unknown,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia cf. tetrapedia,Green Alga,Unknown,Unknown,Unknown,Unknown,Unknown,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia crucifera,Green Alga,(Wolle) O. Kuntze,www.algaebase.org,Willea crucifera,"(Wolle) D.M John, M.J. Wynne, and P.M. Tsarenko",www.algaebase.org,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia fenestrata,Green Alga,(Schmidle) Schmidle,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia irregularis,Green Alga,Wille,www.algaebase.org,Crucigeniella irregularis,(Wille) Tsarenko and D.M. John,www.algaebase.org,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia lauterbornii,Green Alga,(Schmidle) Schmidle,www.algaebase.org,Lemmermannia komarekii,(Hindák) C. Bock and Krienitz,www.algaebase.org,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia quadrata,Green Alga,Morren,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia rectangularis,Green Alga,(Nägeli) Gay,www.algaebase.org,Willea rectangularis,"(A. Braun) D.M. John, M.J. Wynne and P.M. Tsarenko",www.algaebase.org,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia sp.,Green Alga,Morren,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia staurogeniaeformis,Green Alga,(J.L.B. Schröder) J.N.F. Wille,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia tetrapedia,Green Alga,(Kirchner) Kuntze,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia truncata,Green Alga,G.M. Smith,www.algaebase.org,Willea truncata,"(G.M. Smith) D.M. John, M.J. Wynne and P.M. Tsarenko",www.algaebase.org,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Crucigeniella,Crucigeniella crucifera,Green Alga,(Wolle) Komárek,www.algaebase.org,Willea crucifera,"(Wolle) D.M. John, M.J. Wynne and P.M. Tsarenko",N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Protozoa,Dinozoa,Dinophyceae,Crypthecodinium,Crypthecodinium cohnii,Dinoflagellate,(Seligo) Javornicky,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas cf. curvata,Cryptophyte,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas cf. erosa,Cryptophyte,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas cf. ovata,Cryptophyte,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas curvata,Cryptophyte,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas erosa,Cryptophyte,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas marssonii,Cryptophyte,Skuja,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas ovata,Cryptophyte,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas sp.,Cryptophyte,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas tetrapyrenoidosa,Cryptophyte,Skuja,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cuspidothrix,Cuspidothrix sp.,Cyanobacterium,Rajaniemi et. al.,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanarcus,Cyanarcus hamiformis,Cyanobacterium,Pascher,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanodictyon,Cyanodictyon sp.,Cyanobacterium,Pascher,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclostephanos,Cyclostephanos sp.,Centric Diatom,Round,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella atomus,Centric Diatom,Hustedt,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella cf. distinguenda,Centric Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella cf. meneghiniana,Centric Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,brackish to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella cf. striata,Centric Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella comta,Centric Diatom,(Ehrenberg) Kützing,www.algaebase.org,Lindavia comta,"(Kützing) Nakov, Gullory, Julius, Theriot and Alverson",www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella gamma,Centric Diatom,Sovereign,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella glomerata,Centric Diatom,H. Bachmann,www.algaebase.org,Lindavia glomerata,(H. Bachmann) Adesalu and Julius,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella meneghiniana,Centric Diatom,Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,brackish to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella sp.,Centric Diatom,(Kützing) Brébisson,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella stelligera,Centric Diatom,Cleve and Grunow,www.algaebase.org,Discostella stelligera,(Cleve and Grunow) Houk and Klee,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella striata,Centric Diatom,(Kützing) Grunow,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cylindrospermopsis,Cylindrospermopsis acuminatocrispa,Cyanobacterium,Couté and M. Bouvy,www.algaebase.org,Raphidiopsis acuminatocrispa,"(Couvy and Bouvy) Aguilera, Berrendero Gómez, Kastovsky, Echeniqe and Salerno",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cylindrospermopsis,Cylindrospermopsis sp.,Cyanobacterium,Seenaya et. Subba Raju,Wehr and Sheath 2003,Raphidiopsis sp.,F.E. Fritsch and F. Rich,www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cylindrospermum,Cylindrospermum sp.,Cyanobacterium,Kützing ex Bornet et. Flahault,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cylindrotheca,Cylindrotheca closterium,Pennate Diatom,(Ehrenberg) Reimann and J.C. Lewin,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Bacillariophyceae,Cylindrotheca,Cylindrotheca sp.,Pennate Diatom,Rabenhorst,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Cymatopleura,Cymatopleura elliptica,Pennate Diatom,(Brébisson) W. Smith,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymatopleura,Cymatopleura solea,Pennate Diatom,(Brébisson) W. Smith,www.algaebase.org,Surirella librile,(Ehrenberg) Ehrenberg,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymatopleura,Cymatopleura sp.,Pennate Diatom,Smith,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella affinis,Pennate Diatom,Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella cf. mexicana,Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella janischii,Pennate Diatom,(A.W.F. Schmidt) De Toni,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella mexicana,Pennate Diatom,(Ehrenberg) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella sinuata,Pennate Diatom,W. Gregory,www.algaebase.org,Reimeria sinuata,(Gregory) Kociolek and Stoermer,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella sp.,Pennate Diatom,Agardh,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella turgida,Pennate Diatom,Gregory,www.algaebase.org,Encyonema elginense,(Krammer) D.G. Mann,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella ventricosa,Pennate Diatom,(C. Agardh) C. Agardh,www.algaebase.org,Encyonema ventricosum,(C. Agardh) Grunow,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Cymbopleura,Cymbopleura anglica,Pennate Diatom,(Lagerstedt) Krammer,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater; fossil
