Project,Year,Survey,Month,Date,Station,Time,TowDuration,Region,TideCode,DepthBottom,CondSurf,PPTSurf,CondBott,PPTBott,TempSurf,TempBottom,Secchi,Turbidity,Microcystis,TotalMeter,MeterEstimate,Volume,ACARTELA,ACARTIA,DIAPTOM,EURYTEM,OTHCALAD,PDIAPFOR,PDIAPMAR,SINOCAL,TORTANUS,ALLCALADULTS,ACANTHO,LIMNOSPP,LIMNOSINE,LIMNOTET,OITHDAV,OITHSIM,OITHSPP,OTHCYCAD,ALLCYCADULTS,HARPACT,EURYJUV,OTHCALJUV,PDIAPJUV,SINOCALJUV,ASINEJUV,ACARJUV,DIAPTJUV,TORTJUV,ALLCALJUV,LIMNOJUV,OITHJUV,OTHCYCJUV,ALLCYCJUV,EURYNAUP,OTHCOPNAUP,PDIAPNAUP,SINONAUP,ALLCOPNAUP,BOSMINA,DAPHNIA,DIAPHAN,OTHCLADO,ALLCLADOCERA,ASPLANCH,KERATELA,OTHROT,POLYARTH,SYNCH,TRICHO,ALLROTIFERS,BARNNAUP,CRABZOEA,OSTRACOD,CUMAC
STN,2018,5,8,2018-08-08,801,07:39:00,10,Confluence,2,5.8,2655,1.35,2732,1.39,21.2,20.6,51,19.4,2,13160,N,4,820.7,0,0,0,0,442.9,0,0,0,1263.6,0,0,0,0,0,0,0,4.3,4.3,8.7,0,0,408.2,0,95.5,0,0,0,503.7,8.7,0,4.3,13,0,4.3,30.4,0,34.7,4.3,0,0,17.4,21.7,0,0,4.3,0,0,0,4.3,8.7,8.7,4.3,0
STN,2018,5,8,2018-08-08,Honk,10:25:00,10,Suisun Bay (Honker),4,1.2,1212,0.58,NA,NA,19.9,NA,24,55.6,1,19883,N,6,303.2,0,0,0,0,18,9,0,6,336.2,0,0,0,27,12,0,0,3,42,6,0,0,21,0,450.3,0,0,135.1,606.4,3,0,3,6,0,54,12,0,66,0,0,0,0,0,0,0,0,0,0,0,0,78.1,0,6,0
EMP,2018,8,8,2018-08-08,NZ028,13:58:00,10,SuiBay,1,1.7,16845,9.87,NA,NA,21.1,NA,56,NA,NA,11402,N,7.7,47.7,0,0,0,0,1.4,1.4,0,13,63.5,0,0,0,15.9,21.7,0,0,0,37.6,1.4,0,0,15.9,0,111.2,0,0,251.3,378.4,1.4,0,0,1.4,28.9,4.3,0,33.2,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0
EMP,2018,8,8,2018-08-08,NZ032,16:55:00,10,SuiMar,1,7.5,4736,2.51,NA,NA,21.8,NA,40,NA,NA,31286,N,5.9,1076.7,0,0,1.9,0,166.1,0,0,0,1244.6,0,0,0,18.7,0,0,0,1.9,20.5,0,1.9,0,56,0,42.9,0,0,1.9,102.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,11.2,0,0,0
EMP,2018,8,8,2018-08-08,NZS42,14:58:00,10,SuiMar,1,4.7,10027,5.63,NA,NA,21.8,NA,56,NA,NA,32767,N,6,330.4,0,0,5.7,0,40.1,0,0,9.6,385.7,3.8,0,0,7.6,0,0,0,3.8,15.3,1.9,21,0,47.7,0,355.2,0,0,34.4,458.3,0,0,85.9,85.9,30.6,1.9,0,32.5,0,0,0,1.9,1.9,0,0,0,0,0,0,0,76.4,64.9,0,0,0
STN,2018,5,8,2018-08-09,411,13:06:00,10,Suisun Bay,4,6.1,19452,11.55,19924,11.85,21,20.9,51,27.3,2,15012,N,4.6,4.2,0,0,0,0,4.2,104.2,0,4.2,116.7,0,0,0,8.3,50,0,0,0,58.4,20.8,0,0,20.8,0,20.8,0,0,137.5,179.2,8.3,0,0,8.3,0,29.2,0,0,29.2,0,0,0,0,0,0,0,0,0,0,0,0,191.7,0,0,0
STN,2018,5,8,2018-08-09,418,12:04:00,10,Suisun Bay (Mothball),4,9.8,19334,11.47,17897,10.55,20.7,20.7,36,38.7,1,11781,N,3.6,262.8,0,0,0,5.6,28,195.7,0,123,615,0,0,0,178.9,128.6,0,0,0,307.5,28,0,0,61.5,0,587,0,0,240.4,888.9,33.5,0,5.6,39.1,0,106.2,0,0,106.2,0,0,0,0,0,0,0,0,0,0,0,0,44.7,0,16.8,0
STN,2018,5,8,2018-08-09,602,11:02:00,10,Suisun Bay (Grizzly),4,1.2,13746,7.92,13877,8,20.9,20.9,22,69.4,1,13542,N,4.1,353.5,0,0,0,0,17.2,4.3,0,17.2,392.3,0,0,0,43.1,69,0,0,0,112.1,17.2,0,0,30.2,0,1129.4,0,0,245.7,1405.3,0,0,0,0,0,198.3,4.3,0,202.6,0,0,0,0,0,0,0,0,0,0,0,0,69,4.3,4.3,0
STN,2018,5,8,2018-08-09,606,09:56:00,10,Suisun Bay (Mont. Sl.),3,5.8,4578,2.42,4629,2.45,21.3,21,37,35.7,2,11565,N,3.5,679.1,0,0,0,0,132.4,0,0,0,811.5,0,0,0,0,0,0,0,0,0,4.3,8.5,0,170.8,0,179.4,0,0,4.3,363.1,0,0,4.3,4.3,0,12.8,25.6,0,38.4,0,0,0,0,0,0,0,0,0,0,0,0,439.9,29.9,17.1,0
STN,2018,5,8,2018-08-09,609,08:42:00,10,Suisun Bay (Mont. Sl.),2,6.7,4879,2.59,5059,2.7,20.9,20.6,31,22.5,1,11004,N,3.3,272.3,0,0,0,0,52.4,0,0,0,324.7,0,0,0,120.5,0,0,0,0,120.5,20.9,0,0,73.3,0,78.6,0,0,0,151.9,15.7,0,0,15.7,0,120.5,10.5,0,130.9,0,0,0,5.2,5.2,0,0,0,0,0,0,0,1696.8,89,36.7,0
STN,2018,5,8,2018-08-09,610,07:15:00,10,Suisun Bay (Mont. Sl.),2,3.7,4233,2.23,3787,1.98,20.6,20.2,42,39.9,1,13204,N,4,826.8,0,0,0,0,145.9,0,0,0,972.7,0,0,0,141.5,4.4,0,0,4.4,150.3,13.3,0,0,30.9,0,229.9,0,0,0,260.9,4.4,0,13.3,17.7,0,4.4,0,0,4.4,0,0,0,97.3,97.3,0,0,0,0,0,0,0,362.5,26.5,13.3,4.4
FRP,2018,6,8,2018-08-09,Grizz,12:12:00,10,Suisun Bay (Grizzly),4,2,16460,9.62,NA,NA,20.2,NA,29,90.8,NA,20181,N,6.1,4.9,0,0,0,0,0,0,0,0,4.9,0,0,0,4.9,7.3,0,0,0,12.2,7.3,0,0,0,0,124.8,0,0,403.9,528.7,0,0,0,0,0,88.1,2.4,0,90.6,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,0
STN,2018,5,8,2018-08-09,Mont,08:15:00,10,Suisun Bay (Mont. Sl.),2,4.3,3658,1.9,3670,1.91,20.9,20.5,25,47.8,1,29375,N,8.9,1392.4,0,0,0,0,177.1,0,0,0,1569.5,0,0,0,4.5,0,0,0,0,4.5,13.5,2.2,0,94.2,0,6.7,0,0,0,103.1,0,0,2.2,2.2,0,2.2,0,0,2.2,0,0,0,4.5,4.5,0,0,0,0,0,0,0,26.9,13.5,11.2,0
STN,2018,5,8,2018-08-10,405,10:40:00,10,Suisun Bay (Carquinez St.),4,3,19766,11.75,20042,11.93,20.4,20,26,53.6,1,14964,N,4.5,163.7,0,0,0,0,11.9,18.5,0,42.3,236.4,0,0,0,1.3,38.3,0,0,0,39.6,13.2,0,2.6,68.7,0,544,0,0,279.9,895.2,0,0,0,0,0,23.8,1.3,0,25.1,0,0,0,0,0,0,0,0,0,0,0,0,27.7,0,6.6,0
STN,2018,6,8,2018-08-20,704,07:20:00,10,Lower Sacramento River,2,8.8,230,0.1,243,0.1,21.3,21,53,19.1,1,14202,N,4.3,655.6,0,0,0,0,222.7,0,0,0,878.4,0,0,0,0,0,0,0,0,0,0,0,0,1151.6,0,16.8,0,0,0,1168.4,0,0,4.2,4.2,0,0,58.8,0,58.8,0,0,8.4,4.2,12.6,0,0,0,0,0,0,0,0,0,0,4.2
STN,2018,6,8,2018-08-20,706,08:02:00,10,Lower Sacramento River,2,8.8,161,0.07,181,0.08,21.5,20.9,130,8.3,1,15059,N,4.6,440.4,0,0,0,0,361.5,0,0,0,801.9,4.2,0,0,0,0,0,0,8.3,12.5,0,0,0,2222.9,0,0,0,0,0,2222.9,0,0,20.8,20.8,0,0,286.7,0,286.7,8.3,4.2,33.2,8.3,54,0,0,0,0,0,0,0,0,0,0,0
STN,2018,6,8,2018-08-20,707,08:58:00,10,Lower Sacramento River,3,9.4,154,0.06,159,0.07,21.7,21.4,190,4.7,1,15303,N,4.6,111.9,0,4,0,0,711.4,0,4,0,831.3,0,0,0,0,0,0,0,20,20,0,0,0,5059.5,0,0,0,0,0,5059.5,0,0,36,36,0,56,103.9,0,159.9,36,0,36,44,115.9,4,0,0,0,0,0,4,0,0,12,0
STN,2018,6,8,2018-08-22,501,10:28:00,10,Suisun Bay,4,8.2,13452,7.74,13874,8,20.1,20.5,54,16.8,1,14487,N,4.4,634.7,0,0,0,0,12.7,0,0,18.2,665.6,0,0,0,1.8,7.3,0,0,0,9.1,0,0,0,7.3,0,521.9,0,0,109.1,638.3,1.8,0,1.8,3.6,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,54.6,3.6,0,0
STN,2018,6,8,2018-08-22,504,11:24:00,10,Suisun Bay,4,7.3,10047,5.64,12049,6.87,20.3,20.1,82,12.3,2,15433,N,4.7,412.9,0,0,0,0,22.4,3.2,0,6.4,444.9,0,0,0,3.2,3.2,0,0,0,6.4,0,0,0,12.8,0,172.8,0,0,22.4,208,0,0,3.2,3.2,0,9.6,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,22.4,3.2,0,0
STN,2018,6,8,2018-08-22,508,13:26:00,10,Suisun Bay,4,10.1,8794,4.89,9312,5.2,20.7,20.4,53,16.1,1,13700,N,4.2,237.5,0,0,0,0,32,0,0,0,269.5,0,0,0,4.6,4.6,0,0,0,9.1,4.6,0,0,13.7,0,319.7,0,0,73.1,406.5,0,0,0,0,0,18.3,0,0,18.3,0,0,0,0,0,0,0,0,0,0,0,0,22.8,32,0,4.6
STN,2018,6,8,2018-08-22,513,08:14:00,10,Confluence,2,12.5,4265,2.24,5707,3.07,20.1,19.9,65,14.2,1,13879,N,4.2,423.8,0,0,0,0,130.7,0,0,0,554.5,0,0,0,4.5,4.5,0,0,4.5,13.5,0,0,0,54.1,0,117.2,0,0,0,171.3,0,0,0,0,0,4.5,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
STN,2018,6,8,2018-08-22,519,09:31:00,10,Suisun Bay (Honker),4,1.5,11141,6.31,11912,6.78,19.9,19.3,44,31.4,1,15514,N,4.7,135.9,0,0,0,0,22.1,0,0,9.3,167.3,0,0,0,5.1,5.1,0,0,0.8,11,4.2,0,0,26.3,0,326.9,0,0,247.1,600.3,0,0,0,0,0,48.4,1.7,0,50.1,0,0,0,0,0,0,0,0,0,0,0,0,55.2,3.4,0,0
STN,2018,6,8,2018-08-22,520,14:36:00,10,Confluence,4,12.2,6628,3.6,6997,3.82,21.1,21,61,12.9,1,13911,N,4.2,973.4,0,0,0,0,73.9,0,0,1.9,1049.2,0,0,0,9.5,1.9,0,0,0,11.4,3.8,0,0,22.7,0,350.4,0,0,13.3,386.3,1.9,0,1.9,3.8,0,11.4,5.7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,26.5,20.8,0,0
STN,2018,6,8,2018-08-22,801,07:38:00,10,Confluence,2,5.8,4339,2.29,4343,2.29,20.5,20,77,14.9,2,14402,N,4.4,490.9,0,0,0,0,330.2,0,0,0,821.1,0,0,0,0,0,0,0,0,0,0,0,0,69.5,0,152.1,0,0,0,221.6,0,0,0,0,0,0,4.3,0,4.3,0,0,4.3,17.4,21.7,0,0,0,0,0,0,0,86.9,8.7,8.7,0
STN,2018,6,8,2018-08-22,Honk,12:44:00,10,Suisun Bay (Honker),4,1.5,13333,7.66,13071,7.5,19.9,19.9,37,28,1,14179,N,4.3,181.2,0,0,0,0,25.5,2.3,0,25.5,234.6,0,0,0,13.9,16.3,0,0,0,30.2,0,0,0,32.5,0,341.4,0,0,185.8,559.7,0,0,0,0,0,18.6,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,83.6,9.3,2.3,0
STN,2018,6,8,2018-08-23,411,12:56:00,10,Suisun Bay,4,5.8,21067,12.6,22442,13.5,20.4,20.2,48,24.2,1,14545,N,4.4,13.6,0,0,0,10.2,3.4,322.6,0,27.2,377,0,0,0,13.6,30.6,0,0,0,44.1,3.4,0,10.2,13.6,0,10.2,0,0,61.1,95.1,0,0,0,0,0,23.8,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,57.7,0,0,0
STN,2018,6,8,2018-08-23,418,12:00:00,10,Suisun Bay (Mothball),2,9.8,20122,11.98,21164,12.66,20,19.8,55,22.8,1,13768,N,4.2,225.4,0,0,0,0,8.7,125.7,0,65,424.9,0,0,0,26,394.5,0,0,0,420.5,4.3,0,4.3,95.4,0,494.2,0,0,342.5,936.4,13,0,0,13,0,294.8,0,0,294.8,0,0,0,0,0,0,0,0,0,0,0,0,151.7,0,0,0
STN,2018,6,8,2018-08-23,602,10:58:00,10,Suisun Bay (Grizzly),4,1.2,15260,8.87,15180,8.82,20,19.7,34,51.6,1,13824,Y,4.2,160.8,0,0,0,0,7.1,0,0,21.4,189.4,0,0,3.6,14.3,10.7,0,0,0,28.6,7.1,0,0,14.3,0,643.2,0,0,239.4,896.9,0,0,0,0,0,103.6,3.6,0,107.2,0,0,0,0,0,0,0,0,0,0,0,0,67.9,0,0,3.6
STN,2018,6,8,2018-08-23,606,09:54:00,10,Suisun Bay (Mont. Sl.),4,6.7,7068,3.86,7223,3.95,20.1,19.8,42,25.5,1,14759,N,4.5,226.2,0,0,0,0,64.3,0,0,0,290.5,0,0,0,1.3,0,0,0,0,1.3,4,4,0,104.4,0,58.9,0,0,6.7,174,0,0,6.7,6.7,0,33.5,16.1,0,49.5,0,0,0,1.3,1.3,0,0,0,0,0,0,0,239.6,91,14.7,0
STN,2018,6,8,2018-08-23,609,08:51:00,10,Suisun Bay (Mont. Sl.),2,11,7627,4.19,7495,4.11,20,19.5,50,26.5,2,12993,N,3.9,154.1,0,0,0,0,38.5,0,0,4.8,197.4,0,0,0,24.1,0,0,0,0,24.1,0,9.6,0,48.2,0,81.9,0,0,9.6,149.3,0,0,9.6,9.6,0,48.2,4.8,0,53,0,0,0,4.8,4.8,0,0,0,0,0,0,0,645.3,14.4,9.6,0
STN,2018,6,8,2018-08-23,610,07:12:00,10,Suisun Bay (Mont. Sl.),2,3.7,6106,3.3,6194,3.35,19.8,19.6,35,22.8,1,14309,N,4.3,559.7,0,0,0,0,83.1,0,0,0,642.8,0,0,0,26.2,0,0,0,0,26.2,17.5,0,0,21.9,0,139.9,0,0,4.4,166.2,0,0,0,0,0,4.4,0,0,4.4,0,0,0,39.4,39.4,0,0,0,0,0,0,0,279.9,35,0,0
STN,2018,6,8,2018-08-23,Mont,08:23:00,10,Suisun Bay (Mont. Sl.),2,4.6,5734,3.08,5852,3.15,19.9,19.6,27,48.1,1,18919,N,5.7,311.7,0,0,0,0,9.3,0,0,3.1,324,0,0,0,3.1,0,0,0,0,3.1,15.4,0,0,18.5,0,55.5,0,0,0,74.1,0,0,0,0,0,0,0,0,0,0,0,3.1,3.1,6.2,0,0,0,0,0,0,0,61.7,15.4,9.3,0
STN,2018,6,8,2018-08-24,405,09:43:00,10,Suisun Bay (Carquinez St.),4,3,19526,11.6,21544,12.91,19.1,18.9,12,50.5,1,13262,N,4,39.7,0,0,0,0,9.9,27.3,0,17.4,94.4,0,0,0,1.2,44.7,0,0,1.2,47.2,8.7,0,0,49.7,0,299.2,0,0,469.3,818.2,0,0,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,50.9,2.5,0,0
STN,2018,7,9,2018-09-05,405,13:31:00,10,Suisun Bay (Carquinez St.),2,5.8,27583,16.92,32639,20.36,19.9,19,51,17.5,1,29958,N,9.1,0,15.7,0,0,5.2,12.2,238.4,0,64.4,335.9,0,0,0,0,163.6,0,0,0,163.6,64.4,0,5.2,899.8,0,1.7,26.1,0,99.2,1032.1,0,0,0,0,0,19.1,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0,0,208.9,1.7,0,0
STN,2018,7,9,2018-09-06,501,12:06:00,10,Suisun Bay,4,9.1,16157,9.44,17260,10.14,19.2,18.9,47,20,1,24905,N,7.6,42.7,0,0,0,0,2.5,0,0,0,45.2,0,0,0,35.2,77.9,0,0,0,113.1,7.5,0,0,5,0,278.9,0,0,218.6,502.5,5,0,0,5,0,110.5,0,0,110.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,336.6,0,0,0
STN,2018,7,9,2018-09-06,504,14:49:00,10,Suisun Bay,4,7.6,15004,8.71,16063,9.38,19.5,19.2,50,15.2,1,26093,N,7.9,330.9,0,0,0,0,0,0,0,0,330.9,0,0,0,9.6,16.8,0,0,0,26.4,2.4,0,0,2.4,0,904,0,0,64.7,971.2,0,0,0,0,0,21.6,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,122.3,0,2.4,0
STN,2018,7,9,2018-09-07,411,08:37:00,10,Suisun Bay,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,17948,N,5.5,94.1,0,0,0,0,3.5,7,0,0,104.6,0,0,0,27.9,10.5,0,0,0,38.3,3.5,0,0,7,0,728.6,0,0,149.9,885.5,0,0,0,0,0,52.3,0,0,52.3,0,0,0,0,0,0,0,0,0,0,0,0,453.2,0,0,13.9
FMWT,2018,3,9,2018-09-07,416,09:58:00,10,Suisun Bay,2,7.6,17321,10.18,18951,11.22,18.9,18.7,37,35.6,1,20708,N,6.3,190.4,0,0,0,0,0,36.3,0,18.1,244.7,0,0,0,24.2,42.3,0,0,0,66.5,6,0,0,30.2,0,821.8,0,0,214.5,1072.6,6,0,0,6,0,63.5,0,0,63.5,0,0,0,0,0,0,0,0,0,0,0,0,84.6,0,3,0
FMWT,2018,3,9,2018-09-07,602,13:09:00,10,Suisun Bay,4,2.1,17669,10.4,16194,9.46,19.8,20.3,41,33.6,1,18303,N,5.6,159.2,0,0,0,0,10.8,16.2,0,29.7,215.9,0,0,0,16.2,24.3,0,0,0,40.5,2.7,0,0,18.9,0,493.9,0,0,89.1,604.5,0,0,0,0,0,10.8,2.7,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,5.4
FMWT,2018,3,9,2018-09-07,606,12:42:00,10,Montezuma Slough,4,7.6,8569,4.75,10744,6.07,20.7,20.6,34,31.5,1,22354,N,6.8,475.8,0,0,0,0,114.8,0,0,2.8,593.4,0,0,0,103.6,0,0,0,0,103.6,8.4,0,0,39.2,0,302.3,0,0,8.4,358.3,0,0,0,0,0,30.8,0,0,30.8,0,0,0,0,0,0,0,0,0,0,0,0,42,2.8,5.6,8.4
FMWT,2018,3,9,2018-09-07,802,14:45:00,10,Confluence,4,8.5,3525,1.83,3785,1.97,20.8,20.8,72,12.7,2,17192,N,5.2,499.2,0,0,0,0,668.9,0,0,0,1168.1,0,0,0,71.3,0,0,0,6.8,78.1,6.8,0,0,281.8,0,163,0,0,3.4,455,3.4,0,6.8,10.2,0,10.2,3.4,0,13.6,0,0,0,6.8,6.8,0,0,0,0,0,0,0,20.4,0,17,0
FMWT,2018,3,9,2018-09-10,508,11:36:00,10,Suisun Bay,2,12.2,5554,2.98,6355,3.45,20,19.8,43,25.3,1,17896,N,5.4,1467.5,0,0,0,0,441.6,0,0,4.6,1913.7,0,0,0,27.6,0,0,0,4.6,32.2,4.6,0,0,142.6,0,299,0,0,0,446.2,0,0,4.6,4.6,0,4.6,4.6,0,9.2,0,0,0,0,0,0,0,4.6,0,0,0,4.6,9.2,4.6,9.2,0
FMWT,2018,3,9,2018-09-10,513,13:26:00,10,Confluence,4,17.7,2355,1.19,4019,2.11,21.1,20.6,64,12.4,2,16660,N,5.1,1273.2,0,0,0,0,368.1,0,0,0,1641.2,0,0,0,15,0,0,0,3.8,18.8,11.3,0,0,398.1,0,97.6,0,0,3.8,510.8,0,0,3.8,3.8,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0
FMWT,2018,3,9,2018-09-10,519,10:32:00,10,Honker Bay,2,2.7,11126,6.3,11002,6.22,18.9,19.1,32,42.8,1,20573,N,6.2,401.5,0,0,0,0,54.7,6.1,0,6.1,468.4,0,0,0,30.4,0,0,0,0,30.4,3,0,0,27.4,0,927.6,0,0,12.2,970.2,0,0,3,3,0,6.1,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,18.2,0
STN,2018,7,9,2018-09-10,Honk,10:12:00,10,Suisun Bay (Honker),2,1.2,11997,6.84,12150,6.93,19.8,19.4,33,39.2,1,20297,N,6.2,243.4,0,0,0,0,17.8,1.6,0,9.7,272.6,0,0,0,9.7,3.2,0,0,0,13,8.1,0,0,35.7,0,941,0,0,14.6,991.3,4.9,0,1.6,6.5,0,3.2,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,22.7,1.6,19.5,0
FMWT,2018,3,9,2018-09-11,704,07:49:00,10,Lower Sacramento River,2,11,4334,2.28,4422,2.33,19.7,19.3,62,14.2,1,18764,N,5.7,1023.7,0,0,0,0,290.1,0,0,0,1313.8,0,0,0,33.3,0,0,0,3.3,36.7,10,0,0,140,0,33.3,0,0,0,183.4,0,0,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMWT,2018,3,9,2018-09-11,706,08:40:00,10,Lower Sacramento River,2,9.8,756,0.35,1186,0.57,20.5,19.7,69,14.6,1,15391,N,4.7,971,0,0,0,0,667.6,0,0,0,1638.6,0,0,0,3.8,0,0,0,7.6,11.4,60.7,0,0,751,0,19,0,0,0,830.7,3.8,0,19,22.8,0,0,11.4,0,11.4,0,0,7.6,0,7.6,0,0,0,0,0,0,0,0,0,7.6,7.6
FMWT,2018,3,9,2018-09-11,707,09:31:00,10,Lower Sacramento River,2,9.8,254,0.11,272,0.12,20.9,20.3,84,9.5,1,16799,N,5.1,301.9,0,0,0,0,2462.1,0,0,0,2764,0,0,0,0,0,0,0,27.4,27.4,3.9,0,0,3403.1,3.9,11.8,0,0,0,3422.7,0,0,27.4,27.4,0,0,51,0,51,15.7,0,11.8,19.6,47,0,0,3.9,0,0,0,3.9,0,0,39.2,0
STN,2018,7,9,2018-09-13,520,08:28:00,10,Confluence,4,13.7,6381,3.46,4616,2.44,19.1,19.2,89,23.4,1,17016,N,5.2,926.6,0,0,0,0,51.5,22.1,0,7.4,1007.5,0,0,0,0,0,0,0,0,0,3.7,0,0,29.4,0,411.8,0,0,3.7,444.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.7,0,0
STN,2018,7,9,2018-09-13,609,10:09:00,10,Suisun Bay (Mont. Sl.),2,7.6,8170,4.52,8140,4.5,19.1,19.3,37,35.3,1,14526,N,4.4,498.3,0,0,0,0,188.9,0,0,0,687.2,0,0,0,8,0,0,0,0,8,4,0,0,36.2,0,56.3,0,0,4,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,8,40.2,0
STN,2018,7,9,2018-09-13,Mont,09:44:00,10,Suisun Bay (Mont. Sl.),2,3,8221,4.55,8106,4.48,19.4,19.2,31,29.6,1,12209,N,3.7,820,0,0,0,0,82,0,0,0,902,0,0,0,5.1,0,0,0,0,5.1,5.1,0,0,41,0,210.1,0,0,0,251.1,0,0,0,0,0,10.2,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,56.4,5.1,30.7,0
EMP,2018,9,9,2018-09-13,NZ060,06:37:00,10,WestDel,1,11,6223,3.37,NA,NA,19.6,NA,56,NA,NA,25997,N,4.5,2320.6,0,0,0,0,372.4,0,0,5.1,2698.1,0,0,0,423.1,0,0,0,5.1,428.2,5.1,0,0,27.9,0,468.7,0,0,7.6,504.2,7.6,0,2.5,10.1,22.8,2.5,0,25.3,0,0,2.5,0,2.5,0,0,0,0,0,0,0,10.1,5.1,0,0,0
EMP,2018,9,9,2018-09-13,NZ064,07:56:00,10,SacR,1,9.1,1197,0.57,NA,NA,20,NA,76,NA,NA,25481,N,6,1628,0,0,0,0,379.5,0,0,0,2007.5,0,0,0,9.4,0,0,0,4.7,14.1,0,0,0,1136.1,0,7,0,0,0,1143.1,0,0,14.1,14.1,0,11.7,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP,2018,9,9,2018-09-13,NZ068,08:42:00,10,SacR,1,5.5,252,0.11,NA,NA,20.4,NA,355,NA,NA,19366,N,5.9,83.3,0,0,0,0,377.9,0,0,0,461.3,0,0,0,3,0,0,0,3,6,0,0,0,3428.1,0,11.9,0,0,0,3440,0,0,29.8,29.8,0,0,98.2,0,98.2,0,0,8.9,6,14.9,0,0,3,0,0,0,3,0,0,0,0
EMP,2018,9,9,2018-09-18,NZ054,10:11:00,10,SuiBay,1,11.4,6946,3.79,NA,NA,19.2,NA,76,NA,NA,29338,N,8.1,1111.3,0,0,0,0,246.9,0,0,11.2,1369.4,0,0,0,580.9,2.8,0,0,2.8,586.5,14,0,0,14,0,249.8,0,0,0,263.8,16.8,0,0,16.8,33.7,2.8,0,36.5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
FRP,2018,7,9,2018-09-19,Grizz,15:10:00,10,Suisun Bay (Grizzly),1,0.7,13314,7.65,NA,NA,20,NA,20,24.6,1,16247,N,4.9,18.2,0,0,0,0,0,0,0,2,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.1,0,0,166.2,326.3,0,0,0,0,0,6.1,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,56.8,0,0,0
EMP,2018,9,9,2018-09-19,NZ028,14:02:00,10,SuiBay,1,1.5,17160,10.08,16156,9.44,19.2,NA,80,NA,NA,18151,N,5.5,1065.9,0,0,0,0,0,0,0,167.8,1233.7,0,0,2.3,6.8,9.1,0,0,0,18.1,0,0,0,11.3,0,630.5,0,0,220,861.8,0,0,0,0,0,13.6,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0
EMP,2018,9,9,2018-09-19,NZ032,15:47:00,10,SuiMar,1,8.3,12030,6.86,13010,7.46,19.6,NA,68,NA,NA,21808,N,6.6,529.1,0,0,0,0,50.7,0,0,31.4,611.3,0,0,0,19.3,2.4,0,0,0,21.7,0,0,0,4.8,0,577.4,0,0,21.7,604,0,0,0,0,0,70.1,0,0,70.1,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,2.4,0
EMP,2018,9,9,2018-09-19,NZS42,14:55:00,10,SuiMar,1,4.5,10679,6.03,NA,NA,20.6,NA,52,NA,NA,17516,N,6.3,188,0,0,0,0,28.2,0,0,1.9,218.1,0,0,0,28.2,3.8,0,0,1.9,33.8,13.2,0,0,28.2,0,90.2,0,0,5.6,124.1,0,0,3.8,3.8,86.5,13.2,0,99.6,0,0,0,0,0,0,0,0,0,0,0,0,90.2,1.9,0,0,0
FMWT,2018,3.5,9,2018-09-24,513,09:02:00,10,Confluence,2,13.1,4656,2.47,6006,3.24,19.2,19.3,NA,11.5,2,10170,N,3.1,1882.4,0,0,0,0,477.6,0,0,0,2360,0,0,0,112.4,0,0,0,0,112.4,0,0,0,112.4,0,826,0,0,0,938.4,5.6,0,0,5.6,0,5.6,11.2,0,16.9,0,0,0,0,0,0,0,5.6,0,0,0,5.6,5.6,0,39.3,0
