station,date,time,kingdom,phylum,class,phyto_form,genus,taxon,organisms_per_ml,cells_per_ml,biovolume_per_ml_old,biovolume_per_ml_new
MD10A,2020-07-13,10:40:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,176.91125126703457,176.91125126703457,422672.68088861636,211336.34044430815
MD10A,2020-07-13,10:40:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Thalassiosira,Thalassiosira bramaputrae,88.45562563351729,88.45562563351729,900865.8221717748,900865.8221717748
MD10A,2020-07-13,10:40:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Chlorella,Chlorella sp.,265.36687690055186,265.36687690055186,46098.833456443645,15366.277818814548
MD10A,2020-07-13,10:40:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Monoraphidium,Monoraphidium minutum,707.6450050681383,707.6450050681383,80672.9585487764,10084.11981859705
MD10A,2020-07-13,10:40:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Aphanizomenon,Aphanizomenon sp.,265.36687690055186,3626.6806509742087,778677.4999432849,259559.16664776168
MD10A,2020-07-13,10:40:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,530.7337538011037,796.1006307016556,351663.6704993288,58610.61174988814
MD10A,2020-07-13,10:40:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,33170.85961256898,66341.71922513796,4478066.047696812,11941.509460524832
MD10A,2020-07-13,10:40:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Phormidium,Phormidium sp.,176.91125126703457,6987.994425047865,9196592.223471487,4598296.1117357435
NZ032,2020-07-16,14:20:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,211167.70264874215,422335.4052974843,30712230.673233055,76020.37295354718
C3A-HOOD,2020-07-08,06:45:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,153.32308443142998,153.32308443142998,184610.42169888952,92305.21084944475
C3A-HOOD,2020-07-08,06:45:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella meneghiniana,76.66154221571499,76.66154221571499,130564.67490259848,130564.67490259846
C3A-HOOD,2020-07-08,06:45:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,76.66154221571499,76.66154221571499,94631.71688784023,94631.71688784022
C3A-HOOD,2020-07-08,06:45:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Gomphoneis,Gomphoneis herculeana,76.66154221571499,76.66154221571499,1159988.6655083855,1159988.6655083855
C3A-HOOD,2020-07-08,06:45:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula sp.,76.66154221571499,76.66154221571499,8109.053655566789,8109.053655566789
C3A-HOOD,2020-07-08,06:45:00.000000,Chromista,Ochrophyta,Fragilariophyceae,i,Pseudostaurosira,cf.Pseudostaurosira sp.,76.66154221571499,76.66154221571499,20519.49425168668,20519.49425168668
C3A-HOOD,2020-07-08,06:45:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,30434.63225963885,60869.2645192777,4349717.642547584,10956.467613469984
D28A,2020-07-09,09:35:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,287.48078330893117,287.48078330893117,1016115.9626172822,254028.99065432057
D28A,2020-07-09,09:35:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis sp.,71.87019582723279,71.87019582723279,173449.33411251873,173449.33411251876
D28A,2020-07-09,09:35:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Gomphonema,Gomphonema sp.,143.74039165446558,143.74039165446558,43571.370346442105,21785.685173221053
D28A,2020-07-09,09:35:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia desertorum,71.87019582723279,71.87019582723279,7280.882058473646,7280.882058473646
D28A,2020-07-09,09:35:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,cf. Nitzschia sp.,71.87019582723279,71.87019582723279,19136.912978015192,19136.912978015192
D28A,2020-07-09,09:35:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Tryblionella,Tryblionella sp.,71.87019582723279,71.87019582723279,385352.0040182793,385352.0040182793
D28A,2020-07-09,09:35:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Chlorella,Chlorella sp.,71.87019582723279,71.87019582723279,9409.547350263161,9409.547350263163
D28A,2020-07-09,09:35:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Aphanizomenon,Aphanizomenon sp.,503.0913707906295,14589.649752928259,8085240.68615205,1155034.3837360071
D28A,2020-07-09,09:35:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Chroococcus,Chroococcus sp.,1078.052937408492,1293.6635248901903,1347787.3507825923,89852.4900521728
D28A,2020-07-09,09:35:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,26304.491672767206,52608.98334553441,3465879.8228038065,9469.617002196192
D28A,2020-07-09,09:35:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,cf. Eucapsis sp.,215.6105874816984,287.48078330893117,7055.834015902383,2351.9446719674606
D4,2020-07-14,11:15:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,1331.4899437466286,1694.6235647684362,1714068.851574153,155824.44105219567
D4,2020-07-14,11:15:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,48901.99429760344,97803.98859520689,7112306.050643444,17604.71794713724
NZS42,2020-07-16,13:30:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cylindrotheca,Cylindrotheca closterium,183.98770131771596,183.98770131771596,73099.49407596173,73099.49407596173
NZS42,2020-07-16,13:30:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Cylindrospermum,Cylindrospermum sp.,183.98770131771596,7911.471156661786,403762.95541132253,403762.9554113226
NZS42,2020-07-16,13:30:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,74515.01903367495,149030.0380673499,10864289.775109807,26825.406852122982
EZ2-SJR,2020-07-09,07:05:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula cf. weberi,183.98770131771596,183.98770131771596,261519.50920294024,261519.50920294021
EZ2-SJR,2020-07-09,07:05:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia cf. alpina,183.98770131771596,183.98770131771596,8654.781469985357,8654.781469985357
EZ2-SJR,2020-07-09,07:05:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Aphanizomenon,Aphanizomenon sp.,367.9754026354319,17110.856222547583,1729388.4666644176,864694.2333322089
EZ2-SJR,2020-07-09,07:05:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Chroococcus,Chroococcus sp.,3127.790922401171,3495.766325036603,3230599.6755718105,190035.27503363593
EZ2-SJR,2020-07-09,07:05:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,71939.19121522694,143878.38243045387,10126160.555455344,25898.108837481697
EZ2,2020-07-15,12:25:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,484.1781613624104,484.1781613624104,300518.5648863775,150259.28244318874
EZ2,2020-07-15,12:25:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,cf. Cyclotella sp.,242.0890806812052,242.0890806812052,33390.951654041935,33390.951654041935
EZ2,2020-07-15,12:25:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Melosira,Melosira varians,242.0890806812052,242.0890806812052,3303421.6291644266,3303421.6291644266
EZ2,2020-07-15,12:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Aphanizomenon,Aphanizomenon sp.,242.0890806812052,5568.048855667719,305327.6787494975,305327.6787494975
EZ2,2020-07-15,12:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,968.3563227248208,968.3563227248208,238606.1753611748,59651.54384029369
EZ2,2020-07-15,12:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,95141.00870771364,190282.01741542728,13460549.911967326,34250.763134776906
EZ2,2020-07-15,12:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Planktolyngbya,Planktolyngbya sp.,242.0890806812052,4115.514371580488,11959.56438501753,11959.56438501753
P8,2020-07-13,12:10:00.000000,Plantae,Chlorophyta,Chlorophyceae,c,Coelastrum,Coelastrum microporum,170.35898270158884,1703.5898270158884,81283.20786319545,81283.20786319545
P8,2020-07-13,12:10:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Aphanizomenon,Aphanizomenon sp.,170.35898270158884,5621.8464291524315,455998.7961125265,455998.7961125265
P8,2020-07-13,12:10:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Chroococcus,Chroococcus sp.,18058.052166368416,23679.898595520852,136451254.50027248,1287275.9858516273
P8,2020-07-13,12:10:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,52300.207689387775,104600.41537877555,5780218.953831136,18828.0747681796
P8,2020-07-13,12:10:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,cf. Eucapsis sp.,170.35898270158884,340.7179654031777,1427.1948705746252,1427.1948705746252
P8,2020-07-13,12:10:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Pseudanabaena,Pseudanabaena sp.,681.4359308063554,4258.974567539721,182074.38561355782,45518.59640338946
C10A,2020-07-08,10:00:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella gamma,170.35898270158884,170.35898270158884,1277564.9059538401,1277564.9059538401
C10A,2020-07-08,10:00:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella meneghiniana,681.4359308063554,681.4359308063554,3656428.301773766,914107.0754434415
C10A,2020-07-08,10:00:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,15673.026408546173,15673.026408546173,2777129873.4083257,30186194.27617745
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cylindrotheca,Cylindrotheca closterium,170.35898270158884,170.35898270158884,30030.41006887539,30030.41006887539
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Geissleria,Geissleria cf. punctifera,340.7179654031777,340.7179654031777,534504.4597583852,267252.2298791926
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula eidrigiana,170.35898270158884,170.35898270158884,184636.91400367455,184636.91400367452
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula sp.,170.35898270158884,170.35898270158884,59406.98648766877,59406.98648766877
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia acicularis,170.35898270158884,170.35898270158884,75563.74893118594,75563.74893118594
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia dissipata,851.7949135079442,851.7949135079442,2189313.0995200905,437862.6199040182
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia filiformis,170.35898270158884,170.35898270158884,106031.4308334689,106031.43083346888
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia cf. reversa,1022.1538962095331,1022.1538962095331,8047622.055636898,1341270.3426061494
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia sociabilis,170.35898270158884,170.35898270158884,75563.74893118594,75563.74893118594
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Planothidium,cf. Planothidium sp.,170.35898270158884,170.35898270158884,25197.79443759059,25197.794437590586
C10A,2020-07-08,10:00:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Psammothidium,cf. Psammothidium sp.,170.35898270158884,170.35898270158884,110496.99486706393,110496.99486706391
C10A,2020-07-08,10:00:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Skeletonema,Skeletonema sp.,1022.1538962095331,1022.1538962095331,547316.5665108926,91219.42775181544
C10A,2020-07-08,10:00:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Chlorella,Chlorella sp.,2896.10270592701,2896.10270592701,6757733.459493956,397513.7329114092
C10A,2020-07-08,10:00:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Coelastrum,Coelastrum microporum,851.7949135079442,1873.9488097174772,908553.5926029977,181710.71852059956
C10A,2020-07-08,10:00:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Desmodesmus,Desmodesmus abundans,170.35898270158884,681.4359308063554,25118.629722113405,25118.629722113405
C10A,2020-07-08,10:00:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Dictyosphaerium,Dictyosphaerium sp.,340.7179654031777,2896.10270592701,319352.69222695456,159676.34611347728
C10A,2020-07-08,10:00:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Lagerheimia,Lagerheimia genevensis,170.35898270158884,170.35898270158884,10561.242042252226,10561.242042252226
C10A,2020-07-08,10:00:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Selenastrum,Selenastrum gracile,170.35898270158884,170.35898270158884,31749.73388952076,31749.73388952076
C10A,2020-07-08,10:00:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Tetraedron,Tetraedron minimum,170.35898270158884,170.35898270158884,27986.57367821702,27986.57367821702
C10A,2020-07-08,10:00:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,511.07694810476653,511.07694810476653,83348.804839314,27782.934946438
C10A,2020-07-08,10:00:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f.,Cuspidothrix,Cuspidothrix sp.,340.7179654031777,8688.30811778103,1438629.288278631,719314.6441393155
C10A,2020-07-08,10:00:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,41567.59177918768,83135.18355837536,3651297.2618838456,14964.333040507563
C10A,2020-07-08,10:00:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Pseudanabaena,Pseudanabaena sp.,681.4359308063554,22317.026733908137,636046.5204100286,159011.63010250716
D7,2020-07-16,12:25:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,143.74039165446558,143.74039165446558,23491.750219217523,23491.750219217523
D7,2020-07-16,12:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,59077.30096998536,118154.60193997071,8741077.451519033,21267.82834919473
D7,2020-07-16,12:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,cf. Eucapsis sp.,431.2211749633968,862.4423499267936,10837.76104842606,3612.5870161420203
D8,2020-07-15,10:55:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Chroococcus,Chroococcus sp.,1556.8190111499039,1910.641513683973,2005569.3657075823,91162.24389579918
D8,2020-07-15,10:55:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,27032.03919360288,54064.07838720576,3717446.0299042678,9731.534109697035
D8,2020-07-15,10:55:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Pseudanabaena,Pseudanabaena sp.,70.76450050681382,283.05800202725527,2521.029954649262,2521.029954649262
D10,2020-07-15,11:40:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia exilis,105.7400582285724,105.7400582285724,5879.147237508625,5879.147237508624
D10,2020-07-15,11:40:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,845.9204658285792,1691.8409316571583,488426.6367304074,61053.32959130092
D10,2020-07-15,11:40:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,42296.02329142895,90936.45007657225,6547424.405513201,16368.561013783004
D22,2020-07-14,13:05:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,613.2923377257199,613.2923377257199,7122715.284367028,1780678.8210917567
D22,2020-07-14,13:05:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia exilis,153.32308443142998,153.32308443142998,7942.135773548072,7942.1357735480715
D22,2020-07-14,13:05:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,613.2923377257199,613.2923377257199,88527.32790738635,22131.831976846584
D22,2020-07-14,13:05:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,61482.556857003416,122965.11371400683,8875621.907877013,22133.720468521227
D26,2020-07-13,09:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Aphanizomenon,Aphanizomenon sp.,278.7692444207818,9547.846621411774,2053186.462540862,513296.6156352155
D26,2020-07-13,09:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,4042.1540441013353,4669.384844048094,13802552.681365995,237975.0462304482
D26,2020-07-13,09:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,26134.61666444829,52269.23332889658,3528173.2497005193,9408.461999201385
D26,2020-07-13,09:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Pseudanabaena,Pseudanabaena sp.,348.46155552597725,1602.9231554194953,53026.20905693553,10605.241811387104
D41,2020-07-20,13:25:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,cf. Actinocyclus sp.,22.998462664714495,22.998462664714495,1128933.4425443814,1128933.4425443814
D41,2020-07-20,13:25:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,68.99538799414348,68.99538799414348,136524.57645834895,45508.19215278298
D41,2020-07-20,13:25:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Chlorella,Chlorella sp.,22.998462664714495,22.998462664714495,4879.689870097114,4879.689870097113
D41,2020-07-20,13:25:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,22.998462664714495,22.998462664714495,2983.3225257569616,2983.322525756961
D41,2020-07-20,13:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,45.99692532942899,45.99692532942899,3829.6794118987145,1914.839705949357
D41,2020-07-20,13:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,9015.397364568082,18030.794729136163,1272252.8760878476,3245.5430512445096
NZ004,2020-07-20,14:45:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Diploneis,Diploneis bombus,44.22781281675864,44.22781281675864,595714.2095052744,595714.2095052744
NZ004,2020-07-20,14:45:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,44.22781281675864,44.22781281675864,1482.0869809813416,1482.0869809813414
NZ004,2020-07-20,14:45:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,17779.580752336973,35559.161504673946,2573060.9264782066,6400.64907084131
EZ6,NA,11:15:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,42.58974567539721,42.58974567539721,9158.577083515604,9158.577083515604
EZ6,NA,11:15:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula cf. erifuga,42.58974567539721,42.58974567539721,41030.4253341499,41030.4253341499
EZ6,NA,11:15:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia angustata,42.58974567539721,42.58974567539721,17296.20679572691,17296.20679572691
EZ6,NA,11:15:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Aphanizomenon,Aphanizomenon sp.,42.58974567539721,2086.897538094463,131123.5287340437,131123.5287340437
EZ6,NA,11:15:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Chroococcus,Chroococcus sp.,2512.7949948484356,2981.2821972778047,8392491.21187493,142245.613760592
EZ6,NA,11:15:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,14437.923783959654,28875.847567919307,1762004.218594436,5197.652562225476
EZ6,NA,11:15:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,f,Pseudanabaena,Pseudanabaena sp.,255.53847405238326,1405.4616072881079,64376.30062765081,10729.3834379418
D41A,2020-07-20,12:15:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,164.27473331938924,164.27473331938924,1482708.9281965748,185338.61602457185
D41A,2020-07-20,12:15:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Epithemia,Epithemia sp.,20.534341664923655,20.534341664923655,21929.040710938592,21929.040710938592
D41A,2020-07-20,12:15:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Gomphoneis,cf. Gomphoneis sp.,20.534341664923655,20.534341664923655,41653.75505740905,41653.75505740905
D41A,2020-07-20,12:15:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia acicularis,20.534341664923655,20.534341664923655,9375.189832050042,9375.189832050044
D41A,2020-07-20,12:15:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,61.60302499477097,61.60302499477097,49072.12407286579,16357.374690955265
D41A,2020-07-20,12:15:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,20.534341664923655,20.534341664923655,2322.37736751987,2322.37736751987
D41A,2020-07-20,12:15:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,8008.3932493202265,16016.786498640453,1124378.41220456,2883.0215697552817
NZ068,2020-07-14,13:45:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,36.50549629319761,36.50549629319761,25735.381791183154,25735.381791183154
NZ068,2020-07-14,13:45:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,219.03297775918566,219.03297775918566,13686290.039324917,2281048.339887486
NZ068,2020-07-14,13:45:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Microcostatus,cf. Microcostatus sp.,36.50549629319761,36.50549629319761,3297.0877500656165,3297.087750065617
NZ068,2020-07-14,13:45:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia sp.,36.50549629319761,36.50549629319761,2647.3785911826903,2647.3785911826903
NZ068,2020-07-14,13:45:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,401.5604592251737,511.0769481047665,234035.96406047695,21275.996732770633
NZ068,2020-07-14,13:45:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,14127.627065467474,27160.08924213902,1891971.8166074038,4888.816063585024
NZ002,2020-07-20,14:25:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,cf. Actinocyclus sp.,20.44307792419066,20.44307792419066,26025.01264051794,26025.01264051794
NZ002,2020-07-20,14:25:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,20.44307792419066,20.44307792419066,15535.280197255848,15535.280197255846
NZ002,2020-07-20,14:25:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula cf. erifuga,20.44307792419066,20.44307792419066,22156.429680440946,22156.429680440942
NZ002,2020-07-20,14:25:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula oppugnata,20.44307792419066,20.44307792419066,31063.913234402004,31063.913234402004
NZ002,2020-07-20,14:25:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Planothidium,Planothidium reichardtii,20.44307792419066,20.44307792419066,5286.900678556642,5286.900678556641
NZ002,2020-07-20,14:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,8177.231169676264,16477.12080689767,1186352.6980966323,2965.8817452415806
NZ325,2020-07-20,14:10:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella atomus,16.427473331938927,16.427473331938927,1497.0560594892534,1497.0560594892531
NZ325,2020-07-20,14:10:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,65.70989332775571,65.70989332775571,2478750.5704993308,619687.6426248326
NZ325,2020-07-20,14:10:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Rhizosolenia,cf. Rhizosolenia sp.,16.427473331938927,16.427473331938927,32206.935766309336,32206.935766309332
NZ325,2020-07-20,14:10:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,6538.134386111692,13076.268772223384,936783.8948420832,2353.7283790002093
NZ032,2020-08-17,15:45:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Rhizosolenia,cf. Rhizosolenia sp.,497.26405761544856,497.26405761544856,9363825.545840118,2340956.3864600295
NZ032,2020-08-17,15:45:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,49477.77373273713,98955.54746547426,7089175.4204265755,17811.99854378537
D41A,2020-08-18,12:10:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,28.748078330893115,28.748078330893115,20586.191639472196,20586.191639472192
D41A,2020-08-18,12:10:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Chlorella,Chlorella sp.,172.4884699853587,172.4884699853587,90156.62472159429,15026.104120265716
D41A,2020-08-18,12:10:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,344.9769399707174,344.9769399707174,1167504.3115983265,97292.02596652723
D41A,2020-08-18,12:10:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,86.24423499267935,86.24423499267935,10036.850506947376,3345.6168356491253
D41A,2020-08-18,12:10:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,11326.742862371888,22653.485724743776,1606585.2075988287,4077.6274304538797
D4,2020-08-12,10:55:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia sp.,191.65385553928746,191.65385553928746,5672.954123962909,5672.954123962909
D4,2020-08-12,10:55:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Chlorella,Chlorella sp.,383.3077110785749,383.3077110785749,70492.00904742187,35246.00452371094
D4,2020-08-12,10:55:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,4599.692532942899,5557.9618106393355,4143037.6180702164,172626.56741959235
D4,2020-08-12,10:55:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,73595.08052708638,147190.16105417276,10173783.93206442,26494.228989751096
